Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.11,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPEQH,WAW,KUN,00:45:00,00:34:00,,,5,5,,,36,,12,,,,,
,2,LO796,E170,SPEQH,KUN,WAW,06:15:00,06:23:00,,,5,5,,68,,,21,,1,8-9,,
,3,FR7621,B738,EIFTA,KUN,CPH,06:25:00,06:30:00,,,2,2,,142,,WCHR,16,,2,1-2-3,,
,4,FR2145,B738,EIDWK,KUN,LTN,07:30:00,07:30:00,,,3,3,,176,,,17,,5,1-2-3,,
,5,SRN6912,AT72,SPSPD,EDDK,KUN,07:30:00,08:12:00,,,9,9,,,,,,,,,,
,6,SRN6912,AT72,SPSPD,KUN,RIX,08:45:00,09:20:00,,,9,9,,,,,,,,,,
,7,SPNST,PA34,SPNST,EPBC,KUN,08:10:00,10:15:00,,,2,3,,,,,,,,,,
,8,SPNST,PA34,SPNST,KUN,EPMO,08:40:00,10:42:00,,,2,3,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,10:39:00,,,9,9,,,,,,,,,,
,10,FR9113,B738,EIEKM,PFO,KUN,10:25:00,09:58:00,,,2,2,,,173,WCHR,24,,,,,
,11,FR9114,B738,EIEKM,KUN,PFO,10:50:00,10:55:00,,,2,2,,169,,,49,,6,1-2-3,,
,12,W68122,A320,GWUKD,LTN,KUN,10:40:00,10:52:00,,,5,5,,,173,,38,,,,,
,13,W68121,A320,GWUKD,KUN,LTN,11:10:00,12:07:00,93/0015,81/0031,5,5,,176,,WCHR,44,,5,4-5-6,,
,14,W68146,A320,HALYL,SVG,KUN,11:35:00,11:15:00,,,7,7,,,171,,48,,,,,
,15,W68145,A320,HALYL,KUN,SVG,12:05:00,12:10:00,,,7,7,,153,,,47,,1,4-5-6,,
,16,FR2144,B738,EIDWK,LTN,KUN,13:35:00,13:46:00,,,5,5,,,167,WCHS,18,,,,,
,17,RA01903,A109,RA01903,EPPO,KUN,14:05:00,14:00:00,,,1,1,,,,,,,,,,
,18,RA01903,A109,RA01903,KUN,UMII,15:15:00,16:27:00,,,1,1,,,,,,,,,,
,19,FR3964,B738,EIDWK,KUN,RMI,14:25:00,14:26:00,,,5,5,,156,,,15,,2,1-2-3,,
,20,FR7620,B738,EIFTA,CPH,KUN,14:35:00,14:45:00,,,2,3,,,182,,16,,,,,
,21,FR8821,B738,EIFTA,KUN,SNN,16:00:00,16:05:00,,,2,3,,173,,WCHC/ WCMP,38,,6,1-2-3,,
,22,GAF108,C160,GAF108,ETNH,KUN,15:30:00,15:10:00,,,16R,16R,,,,,,,,,,
,23,GAF108,C160,GAF108,KUN,EDDP,17:30:00,17:23:00,,,16R,16R,,7,,,,,,,,
,24,FR3728,B738,EIDYF,BOJ,KUN,16:15:00,16:00:00,,,5,5,,,156,,11,,,,,
,25,FR3729,B738,EIDYF,KUN,BOJ,16:40:00,16:43:00,,,5,5,,145,,,14,,5,1-2-3,,
,26,FR1333,B738,EIDWM,NAP,KUN,16:55:00,17;02,,,7,7,,,173,WCHS/ WCMP,24,,,,,
,27,FR1334,B738,EIDWM,KUN,NAP,17:20:00,17:42:00,,,7,7,,170,,WCHS/ WCMP,26,,2,1-2-3,,
,28,FR3965,B738,EIDWK,RMI,KUN,19:50:00,19:36:00,,,3,3,,,164,,53,,,,,
,29,DTR914,AT72,OYLHB,LICG,KUN,19:37:00,19:54:00,,,21,21,,,,,,,,,,
,30,FR9098,B738,EIEKS,ALC,KUN,20:15:00,20:16:00,,,5,5,,,175,,66,,,,,
,31,FR9099,B738,EIEKS,KUN,ALC,20:40:00,21:28:00,93/0006,81/0036,5,5,,178,,,32,,2,1-2-3,,
,32,SAR801,SF34,SAR801,KUN,WAW,20:25:00,20:26:00,,,9,9,,,,,,,,,,
,33,YW2167,CRJX,ECLJR,BIO,KUN,20:30:00,20:13:00,,,6,6,,,27,,,,,,,
,34,SRN6911,AT72,SRN6911,RIX,KUN,21:05:00,20:39:00,,,9,9,,,,,,,,,,
,35,LYBAS,SIRA,LYBAS,EYKS,KUN,21:35:00,21:35:00,,,13,13,,,,,,,,,,
,36,SRN6911,AT72,SRN6911,KUN,EDDK,21:50:00,21:50:00,,,9,9,,,,,,,,,,
,37,FR8822,B738,EIFTA,SNN,KUN,23:10:00,22:53:00,,,2,2,,,178,,,,,,,
,,,,,,,,,,,,,,1713,1775,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
