Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistė,,,,,,,,,
,,,,,2018.11.16,,,,,,,Ugnė Kilimaitė,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E170,SPLDI,WAW,KUN,00:45:00,00:33:00,,,7,7,,,53,,4,,,,
,2,LO796,E170,SPLDI,KUN,WAW,06:30:00,06:33:00,,,7,7,,33,,,10,,1,8-9,
,3,FR7621,B738,EIEKD,KUN,CPH,06:20:00,06:23:00,,,4,4,,184,,WCHC,19,,2,1-2-3,
,4,FR2145,B738,EIFZG,KUN,STN,06:40:00,06:43:00,,,2,2,,178,,,28,,6,1-2-3,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:42:00,,,8,8,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,11:15:00,7;43,,,8,8,,,,,,,,,
,7,SRN6912,AT72,SPSPH,CGN,KUN,07:20:00,08:06:00,,,9,9,,,,,,,,,
,8,SRN6912,AT72,SPSPH,KUN,RIX,08:05:00,09:00:00,,,9,9,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:33:00,,,9,9,,,,,,,,,
,12,W98122,A320,GWUKE,LTN,KUN,10:40:00,10:13:00,,,2,4,,,169,,38,,,,
,13,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:05:00,,,2,4,,178,,,45,,5,4-5-6,
,14,W68148,A320,HALYL,TKU,KUN,11:10:00,10:53:00,,,7,7,,,104,,41,,,,
,15,W68147,A320,HALYL,KUN,TKU,11:40:00,11;35,,,7,7,,62,,,36,,1,4-5-6,
,16,NJE5NP,F2TH,CSDKJ,LGB,KUN,11:30:00,11:07:00,,,8,10,,,,,,,,,
,17,NJE5NP,F2TH,CSDKJ,KUN,MLA,15:30:00,14:25:00,,,8,10,,,,,,,,,
,18,W68152,A321,HALXS,EIN,KUN,12:50:00,12:49:00,,,4,4,,,183,,50,,,,
,19,W68151,A321,HALXS,KUN,EIN,13:25:00,13:38:00,,,4,4,,191,,,53,,2,4-5-6,
,20,FR2144,B738,EIEVX,STN,KUN,12:20:00,12:27:00,,,2,2,,,179,2* WCHR; WCHS,41,,,,
,21,FR3467,B738,EIEVX,KUN,LTN,15:55:00,16:32:00,,,2,2,,186,,,26,,6,1-2-3,
,22,NJE7XA,GLF5,CSDKJ,MXP,KUN,13:07:00,13:07:00,,,10,10,,,,,,,,,
,23,NJE7XA,GLF5,CSDKJ,KUN,MLA,14:30:00,14:25:00,,,10,10,,,5,,,,,,
,24,SEIHV,C82R,SEIHV,BMA,KUN,13;11,13:11:00,,,3,3,,,,,,,,,
,25,SEIHV,C82R,SEIHV,KUN,EYPR,14:40:00,14:45:00,,,3,3,,,,,,,,,
,26,FR7620,B738,EIEKD,CPH,KUN,14:40:00,14:55:00,,,7,7,,,179,,32,,,,
,27,FR2972,B738,EIEKD,KUN,DUB,15:40:00,15:41:00,,,7,7,,181,,,61,,5,1-2-3,
,28,GWI6902,A320,DAEWQ,KUN,HAM,16:46:00,16:46:00,,,16R,16R,,,,,,,,,
,29,W68144,A320,HALWK,BGO,KUN,18:20:00,18:20:00,,,4,4,,,153,,59,,,,
,30,W68143,A320,HALWK,KUN,BGO,18:50:00,19:12:00,,,4,4,,155,,,65,,2,4-5-6,
,31,W68142,A321,HALWA,AES,KUN,19:45:00,19:32:00,,,7,4,,,161,,77,,,,
,32,W68141,A321,HALWA,KUN,AES,20:30:00,20:25:00,,,7,4,,147,,,?,,1,4-5-6,
,33,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:30:00,,,9,9,,,,,,,,,
,34,FR8691,B738,EIEBP,BRS,KUN,20:30:00,20:22:00,,,2,2,,,173,,67,,,,
,35,FR8682,B738,EIEBP,KUN,BRS,20:55:00,21:25:00,,,2,2,,174,,WCHR; WCHS,59,,5,1-2-3,
,36,SRN6911,AT72,SPSPH,RIX,KUN,21:15:00,20:49:00,,,9,9,,,,,,,,,
,37,SRN6911,AT72,SPSPH,KUN,CGN,21:50:00,21:56:00,,,9,9,,,,,,,,,
,38,FR3466,B738,EIEVX,LTN,KUN,21:50:00,22:22:00,,,2,2,,,178,,34,,,,
,39,FR2971,B738,EIEXF,DUB,KUN,22:30:00,22:10:00,,,4,4,,,179,,66,,,,
,40,AEA958,B738,ECLQX,KUN,MAD,23:15:00,00:12:00,,,6,6,,31,,,43,,,,
,,,,,,,,,,,,,,1700,1716,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
