Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,KLJ107,B735,LYKLJ,MUC,KUN,02:40:00,02:36:00,,,8,8,,,54,,54,,,,,,
,2,LO795,DH8D,OYYBY,WAW,KUN,00:45:00,02:31:00,,,7,7,,,70,,30,,,,,,
,3,LO796,DH8D,OYYBY,KUN,WAW,06:15:00,06:20:00,,,7,7,,21,,,20,,1,8-9,,,
,4,FR7621,B738,EIEVL,KUN,CPH,06:20:00,06:41:00,,,2,2,,92,,,21,,2,1-2-3,,,
,5,FR2836,B738,EIFOH,KUN,TLV,08:00:00,08:11:00,,,5,5,,168,,,66,,5,1-2-3,,,
,6,W98122,A320,GWUKA,LTN,KUN,10:30:00,10:16:00,,,4,4,,,183,,59,,,,,,
,7,W98121,A320,GWUKA,KUN,LTN,11:05:00,11:10:00,,,4,4,,119,,,38,,5,4-5-6,,,
,8,W68146,A320,HALYL,SVG,KUN,12:15:00,11:59:00,,,4,4,,,170,,65,,,,,,
,9,W68145,A320,HALYL,KUN,SVG,12:45:00,12:57:00,75/0005,,4,4,,81,,,49,,2,4-5-6,,,
,10,FR7620,B738,EIEVL,CPH,KUN,14:40:00,14:33:00,,,7,7,,,168,,33,,,,,,
,11,FR3467,B738,EIEVL,KUN,LTN,15:30:00,15:33:00,,,7,7,,124,,3* WCHS; WCHC,28,,6,1-2-3,,,
,12,FR2144,B738,EIDAO,STN,KUN,15:00:00,14:53:00,,,2,2,,,179,,79,,,,,,
,13,FR2145,B738,EIDAO,KUN,STN,15:25:00,15:54:00,81/0022,,2,2,,133,,2* WCHR; 2* WCHS; WCHC,28,,5,1-2-3,,,
,14,FR2837,B738,EIFOH,TLV,KUN,16:40:00,17:21:00,,,4,5,,,142,,22,,,,,,
,15,FR1794,B738,EIFTO,KUN,MXP,17:30:00,17:31:00,,,4,3,,109,,,28,,2,1-2-3,,,
,16,FR9098,B738,EIEKE,ALC,KUN,19:00:00,18:42:00,,,4,4,,,181,,83,,,,,,
,17,FR9099,B738,EIEKE,KUN,ALC,19:25:00,19:31:00,,,4,4,,175,,,69,,1,1-2-3,,,
,18,FR3466,B738,EIEVL,LTN,KUN,21:25:00,21:20:00,,,2,2,,,184,WCHR,76,,,,,,
,19,FR1793,B738,EIFTO,MXP,KUN,23:05:00,22:37:00,,,5,3,,,167,,26,,,,,,
,,,,,,,,,,,,,,1022,1498,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
