Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,FR7621,B738,EIENF,KUN,CPH,06:25:00,,,,3,,,180/13/0,,,18,,2,1-2-3,,
,2,FR2145,B738,EIDAI,KUN,LTN,07:30:00,,,,4,,,172/16/3,,,17,,5,1-2-3,,
,3,FR1333,B738,EIFIB,NAP,KUN,10:10:00,,,,7,,,,,,,,,,,
,4,FR1334,B738,EIFIB,KUN,NAP,10:35:00,,,,7,,,164/12/0,,,9,,2,1-2-3,,
,5,W68122,A320,GWUKD,LTN,KUN,10:40:00,,,,4,,,,,,,,,,,
,6,W68121,A320,GWUKD,KUN,LTN,11:10:00,,,,4,,,168/14/3,,,26,,5,4-5-6,,
,7,FR8822,B738,EIGSF,SNN,KUN,12:35:00,,,,4,,,,,3*WCHR,,,,,,
,8,FR8821,B738,EIGSF,KUN,SNN,13:00:00,,,,4,,,170/20/8,,,30,,5,1-2-3,,
,9,FR2144,B738,EIDAI,LTN,KUN,13:35:00,,,,2,,,,,,,,,,,
,10,FR2972,B738,EIDAI,KUN,DUB,14:45:00,,,,2,,,182/8/7,,2*WCHS,26,,5,1-2-3,,
,11,FR7620,B738,EIENF,CPH,KUN,14:35:00,,,,4,,,,,,,,,,,
,12,FR8682,B738,EIENF,KUN,BRS,15:40:00,,,,4,,,173/12/5,,,33,,5,1-2-3,,
,13,FR2971,B738,EIDAI,DUB,KUN,21:30:00,,,,3,,,,,2*WCHC,,,,,,
,14,FR8681,B738,EIENF,BRS,KUN,21:50:00,,,,2,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
