Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.08,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,DH8D,SPEQE,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,,
,2,LO796,DH8D,SPEQE,KUN,WAW,06:15:00,,,,7,,,0C/0P/52Y,,,52,,1,8-9,,,
,3,FR7621,B738,EIFTO,KUN,CPH,06:20:00,,,,5,,,181/8/3,,WCHR; WCHS,28,,2,1-2-3,,,
,4,FR2836,B738,EIEXF,KUN,TLV,08:00:00,,,,2,,,162/18/1,,,80,,5,1-2-3,,,
,5,W98122,A320,GWUKF,LTN,KUN,10:30:00,,,,4,,,,,WCHC,,,,,,,
,6,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,151/6/5,,,66,,5,4-5-6,,,
,7,W68146,A320,HALYL,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,,
,8,W68145,A320,HALYL,KUN,SVG,12:45:00,,,,4,,,121/8/2,,,61,,2,4-5-6,,,
,9,FR7620,B738,EIFTO,CPH,KUN,14:40:00,,,,5,,,,,,,,,,,,
,10,FR3467,B738,EIFTO,KUN,LTN,15:30:00,,,,5,,,163/12/5,,,36,,6,1-2-3,,,
,11,FR2144,B738,EIEBH,STN,KUN,15:00:00,,,,2,,,,,,,,,,,,
,12,FR2145,B738,EIDLC,KUN,STN,15:25:00,,,,3,,,170/9/5,,WCHC,33,,5,1-2-3,,,
,13,FR2837,B738,EIEXF,TLV,KUN,16:40:00,,,,5,,,,,,,,,,,,
,14,FR1794,B738,EIEXF,KUN,MXP,17:30:00,,,,5,,,162/6/1,,WCHR/ WCMP,25,,2,1-2-3,,,
,15,FR9098,B738,EIENF,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,,
,16,FR9099,B738,EIENF,KUN,ALC,19:25:00,,,,4,,,178/15/4,,2* WCHR,37,,1,1-2-3,,,
,17,FR3466,B738,EIFTO,LTN,KUN,21:25:00,,,,2,,,,,,,,,,,,
,18,FR1793,B738,EIEXF,MXP,KUN,23:05:00,,,,5,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
