FLIGHT NO,APT,MON,,REMARKS,,FLIGHT NO,APT,TUE,,REMARKS,,FLIGHT NO,APT,WED,,REMARKS,,FLIGHT NO,APT,THU,,REMARKS,,FLIGHT NO,APT,FRI,,REMARKS,,FLIGHT NO,APT,SAT,,REMARKS,,FLIGHT NO,APT,SUN,,REMARKS
,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,
LO796,WAW,,06:15,12.31 nebus,,LO796,WAW,,06:15,01.01 nebus,,LO796,WAW,,06:15,,,LO796,WAW,,06:15,,,LO796,WAW,,06:15,,,LO796,WAW,,06:15,,,FR1334,NAP,,06:15,
FR7621,CPH,,06:20,12.24 ir 12.31 nebus,,FR7621,CPH,,06:20,12.25 nebus/01.01 nebus,,FR7621,CPH,,06:20,12.26 nebus,,FR7621,CPH,,06:20,,,FR7621,CPH,,06:20,,,FR7621,CPH,,06:20,,,FR2145,STN,,06:40,
FR2145,STN,,06:40,,,FR2836,TLV,,08:00,12.25 nebus,,FR2145,STN,,06:40,12.26 nebus,,FR1794,MXP,,06:45,,,FR2145,STN,,06:40,,,FR2836,TLV,,08:00,,,W68122,LTN,10:40,,
FR2972,DUB,,07:55,tik 12.31,,SRN6912,CGN,08:00,,,,FR2145,STN,,09:00,tik 12.06,,SRN6912,CGN,08:00,,,,SRN6912,CGN,08:00,,,,W68122,LTN,10:40,,,,W68121,,,11:10,
FR2972,DUB,,08:05,tik 12.24,,,RIX,,08:45,,,SRN6912,CGN,08:00,,,,,RIX,,08:45,,,,RIX,,08:45,,,W68121,,,11:10,,,FR2971,DUB,11:35,,
SRN6912,CGN,07:20,,,,SAR802,WAW,09:50,,,,,RIX,,08:45,,,SAR802,WAW,09:50,,,,SAR802,WAW,09:50,,,,W68146,SVG,12:15,,,,FR2972,,,12:00,
SAR802,RIX,,08:05,,,WZZ8122,LTN,10:40,,prasidės nuo 12.11,,SAR802,WAW,09:50,,,,FR9113,PFO,10:25,,,,W68122,LTN,10:40,,,,W68145,,,12:45,,,FR2144,STN,12:20,,
,WAW,09:05,,,,WZZ8121,,,11:10,,,W68122,LTN,10:40,,nebus 01.16-02.06 laikotarpiu,,FR9114,,,10:50,,,W68121,,,11:10,,,FR7620,CPH,14:40,,,,FR1333,NAP,12:10,,
WZZ8122,LTN,10:40,,,,FR8822,SNN,12:10,,tik 01.01-01.08 laikotarpiu,,W68121,,,11:10,,,FR7949,BLQ,10:30,,,,FR2144,STN,12:20,,,,FR2144,STN,15:00,,,,FR2618,VDA,,13:00,
WZZ8121,,,11:10,,,FR8821,,,12:35,,,FR2144,STN,12:20,,,,FR7950,,,10:55,,,W68152,EIN,12:50,,,,FR2145,,,15:25,,,FR7620,CPH,14:35,,tik 10.28
FR2144,STN,12:20,,12.24 nebus,,WZZ8146,SVG,12:15,,12.25 nebus,,FR7620,CPH,14:40,,12.26 nebus,,W68122,LTN,10:40,,prasidės nuo 11.22   iki 02.28,,W68151,,,13:25,,,FR3467,LTN,,15:30,,,FR3467,LTN,,15:30,12.23-01.06 laikotarpiu nebus
W68152,EIN,12:50,,,,WZZ8145,,,12:45,,,FR2144,STN,14:40,,tik 12.06,,W68121,,,11:10,,,FR7620,CPH,14:40,,,,FR2837,TLV,16:40,,,,FR3466,,21:25,,
W68151,,,13:25,,,FR7620,CPH,14:40,,12.25 nebus/01.01 nebus,,FR3467,LTN,,15:30,,,FR1793,MXP,12:20,,,,FR3467,LTN,,15:30,,,FR1794,MXP,,17:30,,,FR3467,LTN,,13:50,tik 12.23-01.06 laikotarpiui
FR3467,LTN,,13:10,tik 12.31,,FR3467,LTN,,15:30,12.25 nebus,,FR2972,DUB,,15:40,,,W68146,SVG,12:15,,tik 12.20-01.10 laikotarpiu,,FR2972,DUB,,15:40,,,FR9098,ALC,19:00,,,,FR3466,,19:35,,
FR7620,CPH,14:40,,,,FR2837,TLV,16:40,,12.25 nebus,,SAR801,WAW,,20:25,,,W68145,,,12:45,,,W68144,BGO,18:20,,,,FR9099,,,19:25,,,FR7621,CPH,,20:00,
FR2971,DUB,14:45,,tik 12.24/12.31,,FR1794,MXP,,17:30,12.25 nebus,,SRN6911,RIX,21:05,,,,FR2144,STN,12:20,,tik 12.20,,W68143,,,18:50,,,FR3466,LTN,21:25,,,,FR7620,CPH,14:40,,
FR3467,LTN,,15:30,12.24/12.31 nebus,,FR9098,ALC,19:00,,12.25 nebus,,,CGN,,21:50,,,FR2145,,,13:10,,,W68142,AES,20:00,,,,FR2971,DUB,21:45,,tik 12.22-01.05 laikotarpiu,,FR2619,VDA,22:40,,
FR2972,DUB,,15:40,12.24/12.31 nebus,,FR9099,,,19:25,,,FR8681,BRS,20:30,,tik 01.02,,FR2618,VDA,,13:30,,,W68141,,,20:30,,,FR2972,,,22:10,,,LO795,WAW,00:45,,
W68144,BGO,18:20,,,,SAR801,WAW,,20:25,,,FR8682,,,20:55,,,FR7620,CPH,14:40,,,,W68148,TKU,20:25,,prasidės nuo 11.09,,FR1793,MXP,23:05,,,,,,,,
W68143,,,18:50,,,SRN6911,RIX,21:05,,,,FR3466,LTN,21:25,,,,FR3467,LTN,,15:30,,,W68147,,,20:55,,,,,,,,,,,,,
FR3466,LTN,19:05,,tik 12.31,,,CGN,,21:50,,,FR2971,DUB,22:30,,,,FR1333,NAP,16:50,,,,SAR801,WAW,,20:25,,,,,,,,,,,,,
FR7949,BLQ,19:30,,12.24/12.31 nebus,,FR3466,LTN,21:25,,12.25 nebus,,LO795,WAW,00:45,,,,FR1334,,,17:15,,,SRN6911,RIX,21:05,,,,,,,,,,,,,,
FR7950,,,19:55,,,FR1793,MXP,23:05,,12.25 nebus,,,,,,,,FR2144,STN,19:20,,tik 12.27-01.03 laikotarpiu,,,CGN,,21:50,,,,,,,, ,,,,,
W68142,AES,20:00,,12.31 nebus,,LO795,WAW,00:45,,,,,,,,,,FR2145,,,19:50,,,FR3466,LTN,21:25,,,,,,,,,,,,,,
W68141,,,20:30,,,,,,,,,,,,,,,FR8822,SNN,20:50,,,,FR2971,DUB,22:30,,,,,,,,,,,,,,
W68148,TKU,20:25,,prasidės nuo 11.12,,,,,,,,,,,,,,FR8821,,,21:15,,,LO795,WAW,00:45,,,,,,,,,,,,,,
W68147,,,20:55,,,,,,,,,,,,,,,SAR801,WAW,,20:25,,,,,,,,,,,,,,,,,,,
FR8681,BRS,20:30,,12.24/12.31 nebus,,,,,,,,,,,,,,SRN6911,RIX,21:05,,,,,,,,,,,,,,,,,,,,
FR8682,,,20:55,,,,,,,,,,,,,,,,CGN,,21:50,,,,,,,,,,,,,,,,,,,
