,,,,,,,,,,,
,Flight Load by CARRIER,,,,2018,,,,,,
,,,,,,,,,,,
,Carrier,Airport,,Flights,,Pasengers,,Seats offered,,Load,
,,,,Arrival,Departure,Arrival,Departure,Arrival,Departure,Arrival,Departure
,sausis,,,,,,,,,,
,RYANAIR,Luton,LTN,31,31,5044,5275,5859,5859,"86,09 %","90,03 %"
,,Copenhage,CPH,27,27,3674,4517,5103,5103,"72,00 %","88,52 %"
,,Dublin,DUB,20,20,3385,3587,3780,3780,"89,55 %","94,89 %"
,,Bristol,BRS,10,10,1594,1734,1890,1890,"84,34 %","91,75 %"
,,Stansted,STN,26,26,4086,4435,4914,4914,"83,15 %","90,25 %"
,,Shannon,SNN,5,5,869,880,945,945,"91,96 %","93,12 %"
,,Alicante,ALC,9,9,1527,1559,1701,1701,"89,77 %","91,65 %"
,,Neapolis,NAP,8,8,1178,1303,1512,1512,"77,91 %","86,18 %"
,,Eilat (Ovda),VDA,8,8,1269,1245,1512,1512,"83,93 %","82,34 %"
,Wizz Air,Luton,LTN,30,30,3959,5114,5400,5400,"73,31 %","94,70 %"
,,Stavanger,SVG,13,13,1513,1987,2340,2340,"64,66 %","84,91 %"
,,Bergen,BGO,8,8,1007,1328,1440,1440,"69,93 %","92,22 %"
,,Olesund,AES,9,9,1210,1735,1620,1620,"74,69 %","107,10 %"
,,Eindhoven,EIN,8,8,977,1319,1440,1440,"67,85 %","91,60 %"
,,,,,,,,,,,
,Vasaris,,,,,,,,,,
,RYANAIR,Luton,LTN,28,28,4821,4796,5292,5292,"91,10 %","90,63 %"
,,Copenhage,CPH,24,24,3953,3896,4536,4536,"87,15 %","85,89 %"
,,Dublin,DUB,15,15,2606,2657,2835,2835,"91,92 %","93,72 %"
,,Bristol,BRS,8,8,1409,1384,1512,1512,"93,19 %","91,53 %"
,,Stansted,STN,20,20,3459,3389,3780,3780,"91,51 %","89,66 %"
,,Shannon,SNN,4,4,690,720,756,756,"91,27 %","95,24 %"
,,Alicante,ALC,8,8,1379,1381,1512,1512,"91,20 %","91,34 %"
,,Neapolis,NAP,8,8,1273,1263,1512,1512,"84,19 %","83,53 %"
,,Eilat (Ovda),VDA,8,8,1305,1318,1512,1512,"86,31 %","87,17 %"
,Wizz Air,Luton,LTN,28,28,4574,4517,5040,5040,"90,75 %","89,62 %"
,,Stavanger,SVG,12,12,1771,1699,2160,2160,"81,99 %","78,66 %"
,,Bergen,BGO,8,8,1226,1228,1440,1440,"85,14 %","85,28 %"
,,Olesund,AES,8,8,1530,1416,1840,1840,"83,15 %","76,96 %"
,,Eindhoven,EIN,8,8,1243,1209,1440,1440,"86,32 %","83,96 %"
,,,,,,,,,,,
,Kovas,,,,,,,,,,
,RYANAIR,Luton,LTN,31,31,5462,4990,5859,5859,"93,22 %","85,17 %"
,,Copenhage,CPH,28,28,4690,4205,5292,5292,"88,62 %","79,46 %"
,,Dublin,DUB,16,16,2907,2789,3024,3024,"96,13 %","92,23 %"
,,Bristol,BRS,9,9,1549,1487,1701,1701,"91,06 %","87,42 %"
,,Edinburgh,EDI,2,2,356,330,378,378,"94,18 %","87,30 %"
,,Stansted,STN,22,22,3689,3650,4158,4158,"88,72 %","87,78 %"
,,Shannon,SNN,5,5,892,841,945,945,"94,39 %","88,99 %"
,,Alicante,ALC,11,11,1868,1962,2079,2079,"89,85 %","94,37 %"
,,Palma de Mallorca,PMI,2,2,253,342,378,378,"66,93 %","90,48 %"
,,Paphos,PFO,1,1,100,179,189,189,"52,91 %","94,71 %"
,,Rhodes,RHO,1,1,42,179,189,189,"22,22 %","94,71 %"
,,Burgas,BOJ,1,1,53,164,189,189,"28,04 %","86,77 %"
,,Rimini,RMI,1,1,136,165,189,189,"71,96 %","87,30 %"
,,Girona,GRO,2,2,276,329,378,378,"73,02 %","87,04 %"
,,Naples,NAP,9,9,1435,1479,1701,1701,"84,36 %","86,95 %"
,,Eilat (Ovda),VDA,7,7,1161,971,1323,1323,"87,76 %","73,39 %"
,Wizz Air,Luton,LTN,31,31,5213,4919,6200,6200,"84,08 %","79,34 %"
,,Stavanger,SVG,14,14,2042,1864,2520,2520,"81,03 %","73,97 %"
,,Bergen,BGO,9,9,1420,1366,1620,1620,"87,65 %","84,32 %"
,,Olesund,AES,9,9,1766,1590,2070,2070,"85,31 %","76,81 %"
